"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Update course","LMS service","Tue May 06 13:31:23 GMT 2025","passed","Tue May 06 13:31:23 GMT 2025","Update entity","Courses","",""
"","21","Delete exercise","LMS service","Tue May 06 13:31:27 GMT 2025","passed","Tue May 06 13:31:27 GMT 2025","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Tue May 06 13:31:32 GMT 2025","passed","Tue May 06 13:31:32 GMT 2025","Get entity","Users","",""
"","18","Get file","LMS service","Tue May 06 13:31:29 GMT 2025","passed","Tue May 06 13:31:29 GMT 2025","Get entity","Files","",""
"","37","Create course","LMS service","Tue May 06 13:31:24 GMT 2025","passed","Tue May 06 13:31:25 GMT 2025","Create entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Tue May 06 13:31:31 GMT 2025","passed","Tue May 06 13:31:31 GMT 2025","Validate entity","Files","",""
"","287","Login with correct email and password","LMS service","Tue May 06 13:31:22 GMT 2025","passed","Tue May 06 13:31:22 GMT 2025","Login","Authentication","",""
"","289","Get exercise","LMS service","Tue May 06 13:31:26 GMT 2025","passed","Tue May 06 13:31:26 GMT 2025","Get entity","Exercises","",""
"","273","Create file","LMS service","Tue May 06 13:31:28 GMT 2025","passed","Tue May 06 13:31:28 GMT 2025","Create entity","Files","",""
"","29","Update exercise","LMS service","Tue May 06 13:31:26 GMT 2025","passed","Tue May 06 13:31:26 GMT 2025","Update entity","Exercises","",""
"","271","Create file with empty directory","LMS service","Tue May 06 13:31:29 GMT 2025","passed","Tue May 06 13:31:30 GMT 2025","Validate entity","Files","",""
"","35","Get courses","LMS service","Tue May 06 13:31:23 GMT 2025","passed","Tue May 06 13:31:23 GMT 2025","Get entities","Courses","",""
"","292","Get exercises","LMS service","Tue May 06 13:31:27 GMT 2025","passed","Tue May 06 13:31:27 GMT 2025","Get entities","Exercises","",""
"","513","Create user","LMS service","Tue May 06 13:31:30 GMT 2025","passed","Tue May 06 13:31:31 GMT 2025","Create entity","Users","",""
"","26","Delete file","LMS service","Tue May 06 13:31:30 GMT 2025","passed","Tue May 06 13:31:30 GMT 2025","Delete entity","Files","",""
"","28","Create exercise","LMS service","Tue May 06 13:31:25 GMT 2025","passed","Tue May 06 13:31:25 GMT 2025","Create entity","Exercises","",""
"","274","Create file with empty filename","LMS service","Tue May 06 13:31:29 GMT 2025","passed","Tue May 06 13:31:29 GMT 2025","Validate entity","Files","",""
"","292","Create user","LMS service","Tue May 06 13:31:31 GMT 2025","passed","Tue May 06 13:31:31 GMT 2025","Create entity","Users","",""
"","556","Create user","LMS service","Tue May 06 13:31:31 GMT 2025","passed","Tue May 06 13:31:31 GMT 2025","Create entity","Users","",""
